preco,detalhes.Condomínio:,classe
6.2e+06,4700,0
6.5e+06,6500,0
6.8e+06,2000,0
7.1e+06,6800,0
7.1e+06,6800,0
7.9e+06,5000,0
8e+06,6000,0
8.5e+06,7900,0
8.8214e+06,5000,0
8.8873e+06,5000,0
8.8959e+06,5000,0
9.1192e+06,5001,0
9.6e+06,6738,0
1.0255e+07,9800,0
1.0403e+07,7800,0
1.1e+07,6860,0
1.2e+07,1,0
1.2e+07,1,0
1.352e+07,14000,0
1.39e+07,10946,0
1.447e+07,7300,0
1.5e+07,7300,0
1.565e+07,7517,0
2.2e+07,4994,0
1.035523e+06,85,1
1.04e+06,920,1
1.05e+06,750,1
1.05e+06,491,1
1.05e+06,850,1
1.05e+06,750,1
1.05e+06,490,1
1.05e+06,357,1
1.05e+06,850,1
1.05e+06,950,1
1.05e+06,1000,1
1.06e+06,973,1
1.06e+06,850,1
1.06e+06,1587,1
1.08e+06,630,1
1.08e+06,450,1
1.083e+06,665,1
1.09e+06,865,1
1.09e+06,905,1
1.09e+06,380,1
1.09e+06,1550,1
1.1e+06,1300,1
1.1e+06,350,1
1.1e+06,961,1
1.1e+06,550,1
1.1e+06,1500,1
1.1e+06,780,1
1.1e+06,700,1
1.1e+06,500,1
1.1e+06,1300,1
1.1e+06,500,1
1.1e+06,380,1
1.1e+06,1550,1
1.1e+06,800,1
1.1e+06,2600,1
1.1e+06,780,1
1.1e+06,500,1
1.1e+06,1345,1
1.1e+06,1350,1
1.1e+06,390,1
1.1e+06,380,1
1.1e+06,800,1
1.1e+06,780,1
1.1e+06,2150,1
1.1084e+06,800,1
1.11e+06,1100,1
1.116e+06,800,1
1.12e+06,315,1
1.13e+06,900,1
1.135e+06,880,1
1.146e+06,980,1
1.146636e+06,900,1
1.149e+06,350,1
1.15e+06,340,1
1.15e+06,830,1
1.15e+06,800,1
1.15e+06,662,1
1.15e+06,1100,1
1.15e+06,650,1
1.15e+06,1000,1
1.15e+06,980,1
1.15e+06,400,1
1.15e+06,600,1
1.159e+06,750,1
1.16e+06,700,1
1.166e+06,350,1
1.169e+06,890,1
1.17e+06,550,1
1.19e+06,220,1
1.19e+06,3150,1
1.19e+06,1,1
1.19e+06,700,1
1.19903e+06,1300,1
1.1999e+06,1994,1
1.2e+06,740,1
1.2e+06,2100,1
1.2e+06,860,1
1.2e+06,1,1
1.2e+06,3000,1
1.2e+06,700,1
1.2e+06,800,1
1.2e+06,3465,1
1.2e+06,710,1
1.2e+06,1390,1
1.2e+06,1900,1
1.2e+06,600,1
1.2e+06,1100,1
1.2e+06,450,1
1.2e+06,650,1
1.2e+06,720,1
1.2e+06,1200,1
1.2e+06,1300,1
1.2e+06,265000,1
1.2e+06,2000,1
1.2e+06,320,1
1.2e+06,700,1
1.2e+06,1500,1
1.2e+06,1300,1
1.2e+06,3200,1
1.2e+06,300,1
1.2e+06,1,1
1.2e+06,1000,1
1.2e+06,750,1
1.2e+06,960,1
1.2e+06,780,1
1.2e+06,2300,1
1.22e+06,414,1
1.22e+06,1000,1
1.23e+06,800,1
1.24e+06,490,1
1.24677e+06,700,1
1.25e+06,3452,1
1.25e+06,1500,1
1.25e+06,900,1
1.25e+06,1250,1
1.25e+06,500,1
1.25e+06,610,1
1.25e+06,250,1
1.25e+06,710,1
1.25e+06,1500,1
1.25e+06,1,1
1.25e+06,1032,1
1.25e+06,1200,1
1.25e+06,1750,1
1.25e+06,505,1
1.25e+06,500,1
1.25e+06,1300,1
1.25e+06,1228,1
1.25e+06,500,1
1.257269e+06,780,1
1.265e+06,450,1
1.27e+06,1200,1
1.27e+06,1325,1
1.275e+06,1670,1
1.28e+06,670,1
1.28e+06,2600,1
1.28e+06,1260,1
1.28e+06,770,1
1.28e+06,950,1
1.28e+06,800,1
1.28e+06,1050,1
1.29e+06,750,1
1.29e+06,550,1
1.29e+06,1218,1
1.29e+06,400,1
1.29e+06,510,1
1.29e+06,460,1
1.295e+06,800,1
1.299e+06,475,1
1.3e+06,1600,1
1.3e+06,1480,1
1.3e+06,100,1
1.3e+06,1560,1
1.3e+06,10,1
1.3e+06,2040,1
1.3e+06,1200,1
1.3e+06,1200,1
1.3e+06,856,1
1.3e+06,980,1
1.3e+06,1110,1
1.3e+06,872,1
1.3e+06,800,1
1.3e+06,300,1
1.3e+06,1200,1
1.3e+06,1,1
1.3e+06,300,1
1.3e+06,1200,1
1.3e+06,1000,1
1.3e+06,1300,1
1.3e+06,270,1
1.3e+06,400,1
1.3e+06,600,1
1.3e+06,340,1
1.307807e+06,590,1
1.307807e+06,590,1
1.31e+06,800,1
1.32e+06,560,1
1.325e+06,520,1
1.325e+06,2115,1
1.325e+06,1300,1
1.325e+06,480,1
1.33e+06,1200,1
1.33e+06,280,1
1.349e+06,446,1
1.35e+06,1800,1
1.35e+06,720,1
1.35e+06,800,1
1.35e+06,330,1
1.35e+06,98,1
1.35e+06,700,1
1.35e+06,1750,1
1.35e+06,495,1
1.35e+06,380,1
1.35e+06,400,1
1.35e+06,1,1
1.35e+06,940,1
1.364688e+06,980,1
1.37e+06,520,1
1.37e+06,500,1
1.37518e+06,1,1
1.38e+06,900,1
1.38e+06,1390,1
1.38e+06,750,1
1.389e+06,840,1
1.39e+06,450,1
1.4e+06,950,1
1.4e+06,680,1
1.4e+06,2400,1
1.4e+06,960,1
1.4e+06,428,1
1.4e+06,415,1
1.4e+06,499,1
1.4e+06,620,1
1.4e+06,1034,1
1.4e+06,1776,1
1.4e+06,1200,1
1.4e+06,2419,1
1.4e+06,200,1
1.4e+06,290,1
1.4e+06,350,1
1.4e+06,1470,1
1.4e+06,580,1
1.4165e+06,944,1
1.42e+06,1400,1
1.428715e+06,780,1
1.43e+06,250,1
1.43e+06,1786,1
1.44e+06,1,1
1.44863e+06,590,1
1.45e+06,220,1
1.45e+06,1350,1
1.45e+06,1065,1
1.45e+06,220,1
1.45e+06,2500,1
1.45e+06,650,1
1.45e+06,428,1
1.45e+06,1300,1
1.45302e+06,776,1
1.46e+06,1700,1
1.47e+06,1150,1
1.48e+06,1677,1
1.48e+06,1150,1
1.49e+06,350,1
1.49e+06,2000,1
1.493e+06,2900,1
1.5e+06,2950,1
1.5e+06,2194,1
1.5e+06,250,1
1.5e+06,2600,1
1.5e+06,640,1
1.5e+06,596,1
1.5e+06,966,1
1.5e+06,900,1
1.5e+06,1060,1
1.5e+06,250,1
1.5e+06,480,1
1.5e+06,1300,1
1.5e+06,3580,1
1.5e+06,1800,1
1.5e+06,1350,1
1.5e+06,300,1
1.5e+06,1950,1
1.5e+06,400,1
1.5e+06,750,1
1.5e+06,500,1
1.511614e+06,590,1
1.52e+06,1320,1
1.53e+06,460,1
1.55e+06,6590,1
1.55e+06,850,1
1.55e+06,400,1
1.55e+06,789,1
1.55e+06,600,1
1.58e+06,425,1
1.58e+06,906,1
1.59e+06,2000,1
1.59e+06,380,1
1.59e+06,850,1
1.595e+06,605,1
1.6e+06,4900,1
1.6e+06,1850,1
1.6e+06,1000,1
1.6e+06,300,1
1.6e+06,2850,1
1.6e+06,340,1
1.6e+06,897,1
1.6e+06,1650,1
1.6e+06,2653,1
1.6e+06,550,1
1.6e+06,1313,1
1.6e+06,1850,1
1.6e+06,600,1
1.6e+06,1100,1
1.6e+06,2100,1
1.6e+06,600,1
1.6e+06,2000,1
1.6e+06,900,1
1.6e+06,500,1
1.61e+06,1000,1
1.62e+06,2500,1
1.64e+06,1100,1
1.645e+06,759,1
1.65e+06,800,1
1.65e+06,1100,1
1.65e+06,250,1
1.65e+06,980,1
1.65e+06,1958,1
1.65e+06,430,1
1.65e+06,730,1
1.65e+06,954,1
1.673985e+06,850,1
1.68e+06,900,1
1.68e+06,720,1
1.69e+06,3142,1
1.69e+06,550,1
1.69e+06,770,1
1.69e+06,550,1
1.7e+06,1000,1
1.7e+06,2600,1
1.7e+06,500,1
1.7e+06,380,1
1.7e+06,609,1
1.7e+06,1500,1
1.7e+06,1050,1
1.7e+06,2852,1
1.73e+06,550,1
1.75e+06,1800,1
1.75e+06,450,1
1.75e+06,1500,1
1.75e+06,855,1
1.79e+06,1000,1
1.8e+06,3500,1
1.8e+06,490,1
1.8e+06,1460,1
1.8e+06,500,1
1.8e+06,2800,1
1.8e+06,1300,1
1.81e+06,1650,1
1.85e+06,1231,1
1.85e+06,6000,1
1.85e+06,1400,1
1.85e+06,1100,1
1.85e+06,400,1
1.855e+06,530,1
1.88e+06,270,1
1.89e+06,1500,1
1.897e+06,250,1
1.898e+06,1350,1
1.9e+06,560,1
1.9e+06,843,1
1.9e+06,2700,1
1.9e+06,471,1
1.9e+06,460,1
1.9e+06,720,1
1.9e+06,350,1
1.9e+06,350,1
1.94e+06,2490,1
1.95e+06,456,1
1.95e+06,400,1
1.97e+06,1700,1
1.98e+06,1500,1
2e+06,3000,1
2e+06,650,1
2e+06,500,1
2e+06,3116,1
2e+06,1700,1
2e+06,450,1
2e+06,650,1
2e+06,1000,1
2e+06,1757,1
2e+06,985,1
2e+06,350,1
